TEAM,SEASON,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
New Jersey Nets,2010-11,13.3,22.8,58.3,6.2,14.9,41.6,10.5,27.0,38.9,0.9,2.6,34.4,0.7,2.0,36.3,4.0,11.6,34.5
New Orleans Hornets,2010-11,13.0,21.3,61.3,5.8,14.4,40.0,11.7,27.5,42.5,0.9,2.4,34.8,1.0,2.5,38.8,3.6,9.9,36.0
New York Knicks,2010-11,16.1,25.8,62.5,4.3,11.3,38.2,8.5,21.3,40.2,1.7,4.0,44.1,1.2,3.1,39.8,6.4,18.2,35.0
Oklahoma City Thunder,2010-11,17.0,26.1,65.2,4.3,11.7,37.0,10.1,25.6,39.4,0.7,1.8,38.0,0.6,1.7,34.6,4.7,13.6,34.6
Orlando Magic,2010-11,14.5,22.6,64.3,4.1,10.3,39.6,8.0,19.6,41.0,1.3,3.5,38.2,1.1,3.0,35.9,7.0,18.9,36.8
Philadelphia 76ers,2010-11,15.3,24.1,63.6,5.4,14.1,38.0,12.0,29.2,41.2,0.9,2.0,44.0,0.7,1.9,36.4,3.8,11.2,34.4
Phoenix Suns,2010-11,15.7,23.6,66.5,5.2,12.8,40.6,9.8,24.4,40.2,1.0,2.6,38.2,1.5,3.5,42.0,6.1,16.4,37.2
Portland Trail Blazers,2010-11,15.9,25.7,61.9,4.4,11.5,38.2,9.4,25.0,37.5,1.2,2.9,41.6,1.1,3.1,36.6,4.0,12.0,32.9
Sacramento Kings,2010-11,17.4,27.7,62.5,5.2,14.5,35.7,10.5,27.3,38.3,0.9,2.1,41.7,1.0,2.6,40.3,3.3,10.7,31.1
San Antonio Spurs,2010-11,15.3,24.3,63.2,5.8,13.8,42.2,8.9,21.7,40.9,1.5,4.0,38.2,1.8,4.0,45.5,5.0,12.9,38.6
Toronto Raptors,2010-11,17.8,29.5,60.4,4.8,11.3,42.1,11.6,28.3,40.9,0.5,1.7,29.6,0.5,1.4,38.8,3.1,10.0,31.4
Utah Jazz,2010-11,16.8,26.9,62.4,4.9,12.6,38.8,10.4,25.5,40.6,0.6,1.5,37.9,0.6,1.6,35.9,4.2,12.2,34.6
Washington Wizards,2010-11,16.0,26.5,60.5,4.7,12.6,37.5,11.6,30.4,38.1,0.9,2.7,33.9,0.7,1.8,38.2,3.2,9.9,32.6
