Year,Player,G,MP,Pos,TRB,AST,STL,BLK,PTS,TS%,3PAr,FTr,WS,OBPM,DBPM,VORP,DraftYear,DraftPick,ALL_STAR
2005,Sebastian Telfair,68,19.6,PG,1.5,3.3,0.5,0.1,6.8,0.471,0.16,0.309,-0.4,-3.4,-2.5,-1.3,2004,13,0
2005,Kris Humphries,67,13.0,PF,2.9,0.6,0.4,0.3,4.1,0.419,0.021,0.352,-0.3,-3.3,-1.4,-0.6,2004,14,0
2006,Andrew Bogut,82,28.6,PF,7.0,2.3,0.6,0.8,9.4,0.555,0.005,0.32,5.5,-0.3,0.7,1.4,2005,1,0
2006,Marvin Williams,79,24.7,PF,4.8,0.8,0.6,0.3,8.5,0.523,0.1,0.476,2.8,-1.8,-1.7,-0.7,2005,2,0
2006,Deron Williams,80,28.8,PG,2.4,4.5,0.8,0.2,10.8,0.5,0.272,0.168,2.8,-0.5,-1.2,0.2,2005,3,1
2006,Chris Paul,78,36.0,PG,5.1,7.8,2.2,0.1,16.1,0.546,0.187,0.491,10.4,3.0,2.2,5.1,2005,4,1
2006,Raymond Felton,80,30.1,PG,3.3,5.6,1.3,0.1,11.9,0.483,0.307,0.251,2.6,0.2,-0.8,0.8,2005,5,0
2006,Martell Webster,61,17.5,SF,2.1,0.6,0.3,0.2,6.6,0.533,0.523,0.204,0.9,-0.3,-2.2,-0.1,2005,6,0
2006,Charlie Villanueva,81,29.1,PF,6.4,1.1,0.7,0.8,13.0,0.521,0.228,0.17,3.9,0.7,-1.6,0.6,2005,7,0
2006,Channing Frye,65,24.2,C,5.8,0.8,0.5,0.7,12.3,0.541,0.014,0.358,3.5,0.7,-1.4,0.5,2005,8,0
2006,Ike Diogu,69,14.9,PF,3.3,0.4,0.2,0.4,7.0,0.596,0.0,0.503,2.6,-1.6,-0.6,0.0,2005,9,0
2006,Andrew Bynum,46,7.3,C,1.7,0.2,0.1,0.5,1.6,0.394,0.0,0.329,0.1,-6.1,-0.8,-0.4,2005,10,1
2006,Yaroslav Korolev,24,5.3,SF,0.5,0.4,0.1,0.0,1.1,0.392,0.233,0.333,0.0,-4.7,-0.9,-0.1,2005,12,0
2006,Sean May,23,17.3,PF,4.7,1.0,0.7,0.5,8.2,0.474,0.029,0.374,0.4,-2.0,-0.6,0.0,2005,13,0
2006,Rashad McCants,79,17.2,SG,1.8,0.8,0.6,0.3,7.9,0.539,0.336,0.198,1.6,-1.3,-0.3,0.1,2005,14,0
2007,Andrea Bargnani,65,25.1,PF,3.9,0.8,0.5,0.8,11.6,0.546,0.429,0.227,1.9,-1.1,-0.6,0.1,2006,1,0
2007,LaMarcus Aldridge,63,22.1,C,5.0,0.4,0.3,1.2,9.0,0.533,0.004,0.24,3.4,-0.4,-1.0,0.2,2006,2,1
2007,Adam Morrison,78,29.8,PF,2.9,2.1,0.4,0.1,11.8,0.45,0.273,0.179,-1.5,-2.7,-2.4,-1.8,2006,3,0
2007,Tyrus Thomas,72,13.4,PF,3.7,0.6,0.6,1.1,5.2,0.521,0.007,0.621,2.2,-4.1,3.1,0.2,2006,4,0
2007,Shelden Williams,81,18.7,PF,5.4,0.5,0.6,0.5,5.5,0.518,0.011,0.395,2.2,-2.9,-0.4,-0.5,2006,5,0
2007,Brandon Roy,57,35.4,SG,4.4,4.0,1.2,0.2,16.8,0.548,0.191,0.315,4.8,2.3,-0.3,2.0,2006,6,1
2007,Randy Foye,82,22.9,PG,2.7,2.8,0.6,0.3,10.1,0.536,0.268,0.278,2.3,-0.3,-0.6,0.5,2006,7,0
2007,Rudy Gay,78,27.0,SF,4.5,1.3,0.9,0.9,10.8,0.497,0.188,0.275,0.5,-1.5,-0.7,-0.1,2006,8,0
2007,Patrick O'Bryant,16,7.4,C,1.3,0.6,0.4,0.5,1.9,0.393,0.0,0.531,0.0,-6.6,2.0,-0.1,2006,9,0
2007,Mouhamed Sene,28,6.0,C,1.6,0.0,0.1,0.4,1.9,0.429,0.0,0.592,0.0,-6.3,-1.7,-0.3,2006,10,0
2007,J.J. Redick,42,14.8,PG,1.2,0.9,0.3,0.0,6.0,0.569,0.503,0.308,1.7,0.8,-0.7,0.3,2006,11,0
2007,Hilton Armstrong,56,11.3,C,2.7,0.2,0.2,0.5,3.1,0.57,0.0,0.536,1.2,-2.9,0.3,-0.1,2006,12,0
2007,Thabo Sefolosha,71,12.2,SG,2.2,0.8,0.5,0.2,3.6,0.464,0.164,0.176,0.8,-4.2,1.6,-0.1,2006,13,0
2007,Ronnie Brewer,56,12.1,SG,1.3,0.4,0.7,0.1,4.6,0.566,0.047,0.43,1.7,0.2,1.0,0.6,2006,14,0
2009,Greg Oden,61,21.5,C,7.0,0.5,0.4,1.1,8.9,0.599,0.0,0.644,4.6,-1.4,0.3,0.3,2008,1,0
2008,Kevin Durant,80,34.6,SG,4.4,2.4,1.0,0.9,20.3,0.519,0.15,0.328,2.3,0.5,-0.7,1.3,2007,2,1
2008,Al Horford,81,31.4,C,9.7,1.5,0.7,0.9,10.1,0.539,0.007,0.317,5.5,-1.2,-0.3,0.3,2007,3,1
2008,Mike Conley,53,26.1,PG,2.6,4.2,0.8,0.0,9.4,0.502,0.206,0.278,1.1,-1.6,-1.3,-0.3,2007,4,0
2008,Jeff Green,80,28.2,SF,4.7,1.5,0.6,0.6,10.5,0.491,0.101,0.318,0.2,-3.4,-0.6,-1.2,2007,5,0
2008,Yi Jianlian,66,25.0,PF,5.2,0.8,0.5,0.8,8.6,0.485,0.04,0.279,0.7,-2.9,-1.1,-0.8,2007,6,0
2008,Corey Brewer,79,22.8,SF,3.7,1.4,1.0,0.3,5.8,0.429,0.074,0.226,-0.2,-4.2,0.1,-1.0,2007,7,0
2008,Brandan Wright,38,9.9,PF,2.6,0.2,0.2,0.6,4.0,0.583,0.0,0.357,1.1,0.2,-0.6,0.2,2007,8,0
2008,Joakim Noah,74,20.7,C,5.6,1.1,0.9,0.9,6.6,0.539,0.003,0.529,3.8,-1.2,1.0,0.7,2007,9,1
2008,Spencer Hawes,71,13.1,C,3.2,0.6,0.2,0.6,4.7,0.486,0.066,0.182,0.6,-3.2,-0.9,-0.5,2007,10,0
2008,Acie Law,56,15.4,PG,1.0,2.0,0.5,0.0,4.2,0.455,0.143,0.203,-0.1,-4.2,-1.0,-0.7,2007,11,0
2008,Thaddeus Young,74,21.0,PF,4.2,0.8,1.0,0.1,8.2,0.57,0.039,0.21,4.5,0.2,0.3,1.0,2007,12,0
2008,Julian Wright,57,11.2,SF,2.1,0.7,0.5,0.2,3.9,0.581,0.142,0.308,1.7,0.3,1.5,0.6,2007,13,0
2008,Al Thornton,79,27.3,PF,4.5,1.2,0.6,0.5,12.7,0.504,0.149,0.331,1.1,-1.9,-1.5,-0.8,2007,14,0
2009,Derrick Rose,81,37.0,PG,3.9,6.3,0.8,0.2,16.8,0.516,0.06,0.207,4.9,1.1,-1.5,1.2,2008,1,1
2009,Michael Beasley,81,24.8,PF,5.4,1.0,0.5,0.5,13.9,0.528,0.085,0.252,3.4,-0.2,-1.5,0.1,2008,2,0
2009,O.J. Mayo,82,38.0,SG,3.8,3.2,1.1,0.2,18.5,0.539,0.295,0.219,3.4,0.2,-1.4,0.6,2008,3,0
2009,Russell Westbrook,82,32.5,PG,4.9,5.3,1.3,0.2,15.3,0.489,0.118,0.391,1.9,-0.1,-0.9,0.7,2008,4,1
